location;total_cases_per_million;total_deaths_per_million;total_vaccinations_per_hundred;gdp_per_capita;population_density;hospital_beds_per_thousand;median_age;cluster
Afghanistan;0.013039956015377843;0.028303548819317976;0.11687010980654702;0.009828048075259246;0.006626441320486496;0.03088803088803089;0.10574018126888224;0
Albania;0.1869583906994588;0.15445700180423494;0.23546069965827493;0.09582671536527919;0.013001421576370242;0.21544401544401542;0.6918429003021147;2
Algeria;0.015538601621368069;0.02258561131377452;0.13447995149121564;0.11397697652345713;0.0019421892276101727;0.13899613899613897;0.4229607250755288;0
Antigua and Barbuda;0.091915958586013;0.12120449961838578;0.42431567291803485;0.17914267599494854;0.029045648396777764;0.2857142857142857;0.5135951661631419;2
Argentina;0.5073065491624044;0.4136157898066298;0.8075041144817064;0.15715132725735928;0.001794345285105039;0.3783783783783784;0.5075528700906342;1
Armenia;0.36295919955500666;0.38709863484176477;0.19956661462773725;0.06988935479842677;0.01275627862896857;0.31660231660231664;0.6223564954682779;2
Australia;0.30918008028604715;0.028702952153664113;0.6415958220114997;0.3783075649696116;0.0001541620597062076;0.2888030888030888;0.6888217522658608;2
Austria;0.9767901371171982;0.30384811669403317;0.7546770305597256;0.3850844674612701;0.013238982783130628;0.5613899613899614;0.8851963746223559;1
Azerbaijan;0.16236123825036097;0.11058447039556625;0.3834965273713102;0.13060643808316816;0.014826093824040437;0.3552123552123552;0.5226586102719031;2
Bahamas;0.1746067186075842;0.2101260116952436;0.24073109682782037;0.23269627112976587;0.00474111514768599;0.2162162162162162;0.5800604229607249;2
Bahrain;0.7885661337069083;0.1338015260794648;0.8483626140424034;0.36662820590885215;0.24437592797346394;0.1467181467181467;0.5226586102719031;1
Bangladesh;0.028646767417426586;0.02347117428812859;0.473333729518537;0.024620561231212118;0.15960322223977255;0.05405405405405406;0.3746223564954682;0
Barbados;0.4246400687578994;0.1367637050338649;0.4241996711664127;0.14033042194341042;0.08371252566735116;0.44015444015444016;0.7462235649546825;2
Belarus;0.2417021386395945;0.09268684346152249;0.41975652186333584;0.1419636280947924;0.005671141999684095;0.8416988416988417;0.7613293051359513;2
Belgium;0.816467138171975;0.41354733995614795;0.8417736388554398;0.3611917537107924;0.0472064444795451;0.4277992277992278;0.8066465256797579;1
